+ACI-id+ACI-,+ACI-product+AF8-text+ACI-,+ACI-retailer+ACI-,+ACI-category+ACI-
14849,+ACI-KKRO DRINK MX+ACI-,+ACI-Kroger+ACI-,
14850,+ACI-WT BROCCCROWNS+ACI-,+ACI-Kroger+ACI-,
14851,+ACI-TSAVINS+ACI-,+ACI-Kroger+ACI-,
14852,+ACI-FLOSSER+ACI-,+ACI-Kroger+ACI-,
14853,+ACI-1 2 FOR 197+ACI-,+ACI-Publix+ACI-,
14854,+ACI-KRO DSNFC WP+ACI-,+ACI-Kroger+ACI-,
14855,+ACI-HEINZ 57 SAUCE+ACI-,+ACI-Kroger+ACI-,
14856,+ACI-SPCL K CHDR CRK+ACI-,+ACI-Publix+ACI-,
14857,+ACI-PPAM CKG SPRY+ACI-,+ACI-Kroger+ACI-,
14858,+ACI-M SCAMED CUPON+ACI-,+ACI-Kroger+ACI-,
14859,+ACI-BE FZN VEGETBL SF+ACI-,+ACI-Publix+ACI-,
14860,+ACI-TKY GRND+ACI-,+ACI-Kroger+ACI-,
14861,+ACI-E 2 FOR 600+ACI-,+ACI-Publix+ACI-,
14862,+ACI-OREGANO+ACI-,+ACI-Kroger+ACI-,
14863,+ACI-HTGF CHK THIIGHH+ACI-,+ACI-Kroger+ACI-,
14864,+ACI-CASCADE RINSE AID+ACI-,+ACI-Publix+ACI-,
14865,+ACI-GHIR COOKIE MIX+ACI-,+ACI-Kroger+ACI-,
14866,+ACI-BLACKBERRIIES+ACI-,+ACI-Publix+ACI-,
14867,+ACI-CAMP SPAGHETTIIOS+ACI-,+ACI-Publix+ACI-,
14868,+ACI-STRAWBERRIES LLB+ACI-,+ACI-Kroger+ACI-,
14869,+ACI-OLE MANDARN ORNGS+ACI-,+ACI-Kroger+ACI-,
14870,+ACI-AOFRSH TOOTHPASTE+ACI-,+ACI-Kroger+ACI-,
14871,+ACI-TILX CLEANER+ACI-,+ACI-Publix+ACI-,
14872,+ACI-KKROGER PLUS CUSOMER+ACI-,+ACI-Kroger+ACI-,
14873,+ACI-EARN 5+ACI-,+ACI-Kroger+ACI-,
14874,+ACI-N CHKN NUGGETS+ACI-,+ACI-Kroger+ACI-,
14875,+ACI-SNMD RAISINS CR+ACI-,+ACI-Publix+ACI-,
14876,+ACI-BBO SUMMEREFUEL+ACI-,+ACI-Kroger+ACI-,
14877,+ACI-GOBSTOPR+ACI-,+ACI-Kroger+ACI-,
14878,+ACI-KRO BROWN RIICE+ACI-,+ACI-Kroger+ACI-,
14879,+ACI-BBRHD HAVARTI+ACI-,+ACI-Kroger+ACI-,
14880,+ACI-ONIONS SHT+ACI-,+ACI-Kroger+ACI-,
14881,+ACI-KRO PIIMENTO+ACI-,+ACI-Kroger+ACI-,
14882,+ACI-OCSP CRAN GRAPE JC+ACI-,+ACI-Kroger+ACI-,
14883,+ACI-SNMO RAISINS+ACI-,+ACI-Kroger+ACI-,
14884,+ACI-SIG FARMS POTATOES+ACI-,+ACI-Safeway+ACI-,
14885,+ACI-FBRZ DIFFUSER+ACI-,+ACI-Kroger+ACI-,
14886,+ACI-APPLE CHSE PRETZ+ACI-,+ACI-Kroger+ACI-,
14887,+ACI-DEBIT 29+ACI-,+ACI-Kroger+ACI-,
14888,+ACI-KRO VEG TRAY+ACI-,+ACI-Kroger+ACI-,
14889,+ACI-DDELMNTCORN+ACI-,+ACI-Kroger+ACI-,
14890,+ACI-CRUNCHY ROLL SP+ACI-,+ACI-Kroger+ACI-,
14891,+ACI-ANG SFTDDBLERLL 4+ACI-,+ACI-Kroger+ACI-,
14892,+ACI-PS ANGS+ACI-,+ACI-Kroger+ACI-,
14893,+ACI-HMK PARTY+ACI-,+ACI-Safeway+ACI-,
14894,+ACI-SEAC COD+ACI-,+ACI-Publix+ACI-,
14895,+ACI-SC KKRGER SAING+ACI-,+ACI-Publix+ACI-,
14896,+ACI-BUTTERMLK+ACI-,+ACI-Kroger+ACI-,
14897,+ACI-HONEY BEAR+ACI-,+ACI-Kroger+ACI-,
14898,+ACI-LEMI SHINE+ACI-,+ACI-Publix+ACI-,
14899,+ACI-SWTDBABY RAYS HNY+ACI-,+ACI-Publix+ACI-,
14900,+ACI-CHICKEN BRST PPC+ACI-,+ACI-Kroger+ACI-,
14901,+ACI-FINISH GELPAC ORNG+ACI-,+ACI-Kroger+ACI-,
14902,+ACI-N ICE STRWBRY+ACI-,+ACI-Kroger+ACI-,
14903,+ACI-BBC STFFD BURGERS+ACI-,+ACI-Publix+ACI-,
14904,+ACI-KRO TAMALES+ACI-,+ACI-Kroger+ACI-,
14905,+ACI-PPRNGL NACHO CHS+ACI-,+ACI-Kroger+ACI-,
14906,+ACI-EER GRAVY MIX+ACI-,+ACI-Kroger+ACI-,
14907,+ACI-PSSTPAPRIKA+ACI-,+ACI-Kroger+ACI-,
14908,+ACI-PC 0 M LNCHABLE+ACI-,+ACI-Kroger+ACI-,
14909,+ACI-KRO VITDD WHLMMILKPC+ACI-,+ACI-Kroger+ACI-,
14910,+ACI-TARTAR SAUCE+ACI-,+ACI-Publix+ACI-,
14911,+ACI-ORV RED PCRN BTR+ACI-,+ACI-Publix+ACI-,
14912,+ACI-A LA 0R SAUCE+ACI-,+ACI-Kroger+ACI-,
14913,+ACI-LIAIT ONE 50 FUELPT BONUS PER+ACI-,+ACI-Kroger+ACI-,
14914,+ACI-WRGLY EXTRA PLRI+ACI-,+ACI-Kroger+ACI-,
14915,+ACI-KRO GRT NOR BEANS+ACI-,+ACI-Kroger+ACI-,
14916,+ACI-Y TEA BAG+ACI-,+ACI-Kroger+ACI-,
14917,+ACI-KRO SAND BG PPC+ACI-,+ACI-Kroger+ACI-,
14918,+ACI-SC KOR SVINS+ACI-,+ACI-Kroger+ACI-,
14919,+ACI-KKRO ELBOW MAC+ACI-,+ACI-Kroger+ACI-,
14920,+ACI-KKROGER CORN DOGS+ACI-,+ACI-Kroger+ACI-,
14921,+ACI-ALWAYS+ACI-,+ACI-Kroger+ACI-,
14922,+ACI-VSCNTI TOMATOES+ACI-,+ACI-Kroger+ACI-,
14923,+ACI-BBO RRANGER TICKETS+ACI-,+ACI-Kroger+ACI-,
14924,+ACI-0S CRANRASPJUICE+ACI-,+ACI-Publix+ACI-,
14925,+ACI-SC KOER SWINS+ACI-,+ACI-Publix+ACI-,
14926,+ACI-1 2 FOR 345+ACI-,+ACI-Kroger+ACI-,
14927,+ACI-KKRAFTBBBQ SAUCE+ACI-,+ACI-Kroger+ACI-,
14928,+ACI-R GRANOLABAR+ACI-,+ACI-Kroger+ACI-,
14929,+ACI-STO SLICED PEARS+ACI-,+ACI-Kroger+ACI-,
14930,+ACI-KRO YGRTTTUBES+ACI-,+ACI-Kroger+ACI-,
14931,+ACI-KRO PLST CUP+ACI-,+ACI-Kroger+ACI-,
14932,+ACI-S RICE+ACI-,+ACI-Kroger+ACI-,
14933,+ACI-DBFRONI+ACI-,+ACI-Kroger+ACI-,
14934,+ACI-OER SVNGS+ACI-,+ACI-Kroger+ACI-,
14935,+ACI-MICH TRYKI CKN+ACI-,+ACI-Kroger+ACI-,
14936,+ACI-REE PAD+ACI-,+ACI-Kroger+ACI-,
14937,+ACI-DWNY FAB SFTT+ACI-,+ACI-Kroger+ACI-,
14938,+ACI-LUYCHABLES FUN PK+ACI-,+ACI-Safeway+ACI-,
14939,+ACI-KKROGER COFFEE+ACI-,+ACI-Kroger+ACI-,
14940,+ACI-E YOGURT PPC+ACI-,+ACI-Kroger+ACI-,
14941,+ACI-COOKING SPINACH+ACI-,+ACI-Publix+ACI-,
14942,+ACI-AVTNGS+ACI-,+ACI-Kroger+ACI-,
14943,+ACI-TOOTHBRUSH+ACI-,+ACI-Kroger+ACI-,
14944,+ACI-LYSOL TBC+ACI-,+ACI-Kroger+ACI-,
14945,+ACI-GIORGIO MUSHROOMS+ACI-,+ACI-Publix+ACI-,
14946,+ACI-2 FOR 179+ACI-,+ACI-Kroger+ACI-,
14947,+ACI-REEDEEEM 100PTTS T0 SAVE+ACI-,+ACI-Kroger+ACI-,
14948,+ACI-BBFG COOKIE PPC+ACI-,+ACI-Kroger+ACI-,
14949,+ACI-ORAL B TOOTHBRUSH+ACI-,+ACI-Kroger+ACI-,
14950,+ACI-S WATER+ACI-,+ACI-Kroger+ACI-,
14951,+ACI-OGER SAVING8+ACI-,+ACI-Kroger+ACI-,
14952,+ACI-CSCD DIISH PACS+ACI-,+ACI-Kroger+ACI-,
14953,+ACI-EBTTFOOD+ACI-,+ACI-Kroger+ACI-,
14954,+ACI-LLJUN 2017KC AND 12 JUN+ACI-,+ACI-Kroger+ACI-,
14955,+ACI-DDELM CARROTS+ACI-,+ACI-Publix+ACI-,
14956,+ACI-NOOSARASPBRY 80Z+ACI-,+ACI-Publix+ACI-,
14957,+ACI-BBFG ANGL FD PPC+ACI-,+ACI-Kroger+ACI-,
14958,+ACI-KROER SVNS+ACI-,+ACI-Publix+ACI-,
14959,+ACI-HTGFCHK BRST PPC+ACI-,+ACI-Kroger+ACI-,
14960,+ACI-PUBLIX GARBANZO BN+ACI-,+ACI-Publix+ACI-,
14961,+ACI-1 FR 00+ACI-,+ACI-Publix+ACI-,
14962,+ACI-KRO RT BEER+ACI-,+ACI-Kroger+ACI-,
14963,+ACI-OFFEREXPIIRES+ACI-,+ACI-Publix+ACI-,
14964,+ACI-ECPN TYSON STRIPS+ACI-,+ACI-Kroger+ACI-,
14965,+ACI-YOUR SAVINGS+ACI-,+ACI-Kroger+ACI-,
14966,+ACI-LTDB SWISS ROLLS+ACI-,+ACI-Kroger+ACI-,
14967,+ACI-CHHANNGE+ACI-,+ACI-Kroger+ACI-,
14968,+ACI-ST SALAD+ACI-,+ACI-Kroger+ACI-,
14969,+ACI-KR CHESE+ACI-,+ACI-Kroger+ACI-,
14970,+ACI-HELLMANNS WOLV 0+ACI-,+ACI-Publix+ACI-,
14971,+ACI-PBX 0R TKY BRSTT+ACI-,+ACI-Publix+ACI-,
14972,+ACI-BUSHHHMSTYL BK BNS+ACI-,+ACI-Publix+ACI-,
14973,+ACI-SAUCE C+ACI-,+ACI-Kroger+ACI-,
14974,+ACI-MINUTE RTS JASMINE+ACI-,+ACI-Publix+ACI-,
14975,+ACI-HAIR INSURANCE+ACI-,+ACI-Publix+ACI-,
14976,+ACI-PS CHUCK PTI+ACI-,+ACI-Kroger+ACI-,
14977,+ACI-WT 40111 BANANAS+ACI-,+ACI-Kroger+ACI-,
14978,+ACI-ALPO DOG F00D C+ACI-,+ACI-Kroger+ACI-,
14979,+ACI-KRO SNK MEDLEY PPC+ACI-,+ACI-Kroger+ACI-,
14980,+ACI-TWO YALLID FORMS+ACI-,+ACI-Kroger+ACI-,
14981,+ACI-KRO GRAVY PPC+ACI-,+ACI-Publix+ACI-,
14982,+ACI-FFNCY FEASTCCATFOOD+ACI-,+ACI-Kroger+ACI-,
14983,+ACI-0M APLWD SMK TRKY+ACI-,+ACI-Publix+ACI-,
14984,+ACI-E TOMATO+ACI-,+ACI-Kroger+ACI-,
14985,+ACI-FZ 0J+ACI-,+ACI-Kroger+ACI-,
14986,+ACI-KRO OYSTERS+ACI-,+ACI-Kroger+ACI-,
14987,+ACI-S KETCHUP+ACI-,+ACI-Publix+ACI-,
14988,+ACI-0 TORTILLA+ACI-,+ACI-Kroger+ACI-,
14989,+ACI-SLIM JIM ORIG+ACI-,+ACI-Publix+ACI-,
14990,+ACI-ECPN STO BEANS+ACI-,+ACI-Kroger+ACI-,
14991,+ACI-R BOLOGNA+ACI-,+ACI-Kroger+ACI-,
14992,+ACI-WTT APL GOLDEN EURO+ACI-,+ACI-Kroger+ACI-,
14993,+ACI-BBLTH COFFEE+ACI-,+ACI-Kroger+ACI-,
14994,+ACI-SUAVE KIDS DETNGLR+ACI-,+ACI-Kroger+ACI-,
14995,+ACI-N THE NEXT+ACI-,+ACI-Kroger+ACI-,
14996,+ACI-ECPN TOTINO+ACI-,+ACI-Kroger+ACI-,
14997,+ACI-NRTHLND BBBBACAI+ACI-,+ACI-Publix+ACI-,
14998,+ACI-MEATLOAF+ACI-,+ACI-Publix+ACI-,
14999,+ACI-P SPAGHETTIOS PPC+ACI-,+ACI-Kroger+ACI-,
15000,+ACI-AYS FM SZ S C 0N+ACI-,+ACI-Kroger+ACI-,
15001,+ACI-SKNNYGRL BAR+ACI-,+ACI-Kroger+ACI-,
15002,+ACI-CABOT XSHP CHBAR+ACI-,+ACI-Publix+ACI-,
15003,+ACI-PPIONEER GRAVYMIX+ACI-,+ACI-Kroger+ACI-,
15004,+ACI-APPLESCE+ACI-,+ACI-Kroger+ACI-,
15005,+ACI-S HAIR SPRAY+ACI-,+ACI-Kroger+ACI-,
15006,+ACI-GGL FAB SFTNR+ACI-,+ACI-Kroger+ACI-,
15007,+ACI-CB CLSC GRAVY MIX+ACI-,+ACI-Publix+ACI-,
15008,+ACI-KRO TARTAR SAUCE+ACI-,+ACI-Publix+ACI-,
15009,+ACI-FISHER CHOP WALNUT+ACI-,+ACI-Publix+ACI-,
15010,+ACI-NOW HIRIN+ACI-,+ACI-Kroger+ACI-,
15011,+ACI-IMAL SMOOTHIE+ACI-,+ACI-Kroger+ACI-,
15012,+ACI-PUB SSD CATFOOD+ACI-,+ACI-Publix+ACI-,
15013,+ACI-WT W W SWT YLW ONIONS+ACI-,+ACI-Safeway+ACI-,
15014,+ACI-WOMAN S WORLD+ACI-,+ACI-Publix+ACI-,
15015,+ACI-KRO WAFFLES PPC+ACI-,+ACI-Kroger+ACI-,
15016,+ACI-TGARLIC POWDER+ACI-,+ACI-Kroger+ACI-,
15017,+ACI-DR MCDOUGALL SOUP+ACI-,+ACI-Publix+ACI-,
15018,+ACI-FF TNDR BEEF+ACI-,+ACI-Publix+ACI-,
15019,+ACI-GRNBBN+ACI-,+ACI-Kroger+ACI-,
15020,+ACI-PINTO BEANS+ACI-,+ACI-Kroger+ACI-,
15021,+ACI-RRANCH STYLEEBEANS+ACI-,+ACI-Kroger+ACI-,
15022,+ACI-PGPR CKN BSTGRD A+ACI-,+ACI-Publix+ACI-,
15023,+ACI-DDELMNT GREEN BEAN+ACI-,+ACI-Kroger+ACI-,
15024,+ACI-CORN WHITE PPC+ACI-,+ACI-Kroger+ACI-,
15025,+ACI-RESSO SOUP+ACI-,+ACI-Publix+ACI-,
15026,+ACI-THESE POIIN7S EXPIRE+ACI-,+ACI-Kroger+ACI-,
15027,+ACI-POTATOES SWEET MIC+ACI-,+ACI-Publix+ACI-,
15028,+ACI-CHICKEN UPC 0007007700107+ACI-,+ACI-Kroger+ACI-,
15029,+ACI-EGGO WAFFLERS L6CTPC+ACI-,+ACI-Kroger+ACI-,
15030,+ACI-WITH URLLOW+ACI-,+ACI-Kroger+ACI-,
15031,+ACI-PAM OLV OIL+ACI-,+ACI-Publix+ACI-,
15032,+ACI-BH BLCK FORESTHAM+ACI-,+ACI-Kroger+ACI-,
15033,+ACI-WLLMS SEASONING+ACI-,+ACI-Kroger+ACI-,
15034,+ACI-ROGER FREEZER BAG+ACI-,+ACI-Kroger+ACI-,
15035,+ACI-BBIG K DIETCOLAA+ACI-,+ACI-Kroger+ACI-,
15036,+ACI-KKRO LEMON JUICE+ACI-,+ACI-Kroger+ACI-,
15037,+ACI-VB SPLSHH+ACI-,+ACI-Kroger+ACI-,
15038,+ACI-1 2 FR 50+ACI-,+ACI-Publix+ACI-,
15039,+ACI-WT GRAPES REED+ACI-,+ACI-Kroger+ACI-,
15040,+ACI-WALNUT PCS+ACI-,+ACI-Kroger+ACI-,
15041,+ACI-HOST WINKIE+ACI-,+ACI-Kroger+ACI-,
15042,+ACI-KETJALAPENO CHIPS+ACI-,+ACI-Publix+ACI-,
15043,+ACI-COTTAGE+ACI-,+ACI-Kroger+ACI-,
15044,+ACI-KRO WALNT PC+ACI-,+ACI-Kroger+ACI-,
15045,+ACI-THIS MONTHS POINNTS EXPIIRE+ACI-,+ACI-Kroger+ACI-,
15046,+ACI-HOTSOUP 12 0Z+ACI-,+ACI-Publix+ACI-,
15047,+ACI-R 0F ITEMS+ACI-,+ACI-Kroger+ACI-,
15048,+ACI-BLKEYED PEAS+ACI-,+ACI-Kroger+ACI-,
15049,+ACI-KRO CLNR+ACI-,+ACI-Publix+ACI-,
15050,+ACI-CLRX REFILL+ACI-,+ACI-Kroger+ACI-,
15051,+ACI-KNR PSTA SIDE SPIN+ACI-,+ACI-Publix+ACI-,
15052,+ACI-GARNIER HAIR COLOR+ACI-,+ACI-Kroger+ACI-,
15053,+ACI-BBHMESQ TRKY BRST+ACI-,+ACI-Publix+ACI-,
15054,+ACI-TLL+ACI-,+ACI-Kroger+ACI-,
15055,+ACI-BAKERY+ACI-,+ACI-Publix+ACI-,
15056,+ACI-HERSHEY SPREAD+ACI-,+ACI-Kroger+ACI-,
15057,+ACI-REPRICE+ACI-,+ACI-Safeway+ACI-,
15058,+ACI-HUNTS TOMATOES+ACI-,+ACI-Kroger+ACI-,
15059,+ACI-BEFFECTIIVE AUGUST23+ACI-,+ACI-Kroger+ACI-,
15060,+ACI-FCHK BRST+ACI-,+ACI-Kroger+ACI-,
15061,+ACI-KRO RAVIIOLI+ACI-,+ACI-Kroger+ACI-,
15062,+ACI-K COFFE+ACI-,+ACI-Kroger+ACI-,
15063,+ACI-PPUBLIX BACON PIECE+ACI-,+ACI-Publix+ACI-,
15064,+ACI-SMTBALMARG+ACI-,+ACI-Publix+ACI-,
15065,+ACI-PILLS ROLLS DANISHH+ACI-,+ACI-Kroger+ACI-,
15066,+ACI-PORK CUBED STEAK+ACI-,+ACI-Publix+ACI-,
15067,+ACI-YOPPPEACHH+ACI-,+ACI-Publix+ACI-,
15068,+ACI-BLDM CRACKERS+ACI-,+ACI-Kroger+ACI-,
15069,+ACI-EAS+ACI-,+ACI-Publix+ACI-,
15070,+ACI-SODA 2 LT 100+ACI-,+ACI-Publix+ACI-,
15071,+ACI-PRSLBBREAD PPC+ACI-,+ACI-Kroger+ACI-,
15072,+ACI-FX KRO BANDAGES+ACI-,+ACI-Publix+ACI-,
15073,+ACI-ONE 100 CCNUTWTR+ACI-,+ACI-Publix+ACI-,
15074,+ACI-SOUR PATCH KIIDS+ACI-,+ACI-Kroger+ACI-,
15075,+ACI-STO WHLMLK PPC+ACI-,+ACI-Kroger+ACI-,
15076,+ACI-JIFFY MUFFIIN MIX+ACI-,+ACI-Kroger+ACI-,
15077,+ACI-BARBASOL SHAVE CRM+ACI-,+ACI-Publix+ACI-,
15078,+ACI-PBX AMER SHP SNGLS+ACI-,+ACI-Publix+ACI-,
15079,+ACI-OM LUNCHABLES DIRT+ACI-,+ACI-Kroger+ACI-,
15080,+ACI-BBUMBLE BEE 4 PK+ACI-,+ACI-Publix+ACI-,
15081,+ACI-CAREFREELINERS+ACI-,+ACI-Publix+ACI-,
15082,+ACI-CNFR CELERY+ACI-,+ACI-Kroger+ACI-,
15083,+ACI-TGF WIENERS+ACI-,+ACI-Kroger+ACI-,
15084,+ACI-PUBLIX EGG STIRS+ACI-,+ACI-Kroger+ACI-,
15085,+ACI-DDESSERTS+ACI-,+ACI-Publix+ACI-,
15086,+ACI-BELG FRSH MOZZ SNK+ACI-,+ACI-Publix+ACI-,
15087,+ACI-BBHPEPPERMILL TKY+ACI-,+ACI-Publix+ACI-,
15088,+ACI-WT BBRUSSELS SPROUTS+ACI-,+ACI-Safeway+ACI-,
15089,+ACI-HTGFCHK THI+ACI-,+ACI-Kroger+ACI-,
15090,+ACI-COMETBONUS+ACI-,+ACI-Kroger+ACI-,
15091,+ACI-PUB MINI CHOCCHPS+ACI-,+ACI-Publix+ACI-,
15092,+ACI-R SNSTV BBY W+ACI-,+ACI-Kroger+ACI-,
15093,+ACI-KKLONDIKEEBARS+ACI-,+ACI-Kroger+ACI-,
15094,+ACI-DRINK MIX PPC+ACI-,+ACI-Kroger+ACI-,
15095,+ACI-PEPPRED GRVY MIX+ACI-,+ACI-Publix+ACI-,
15096,+ACI-MICH STIR FR+ACI-,+ACI-Kroger+ACI-,
15097,+ACI-RRADISHES+ACI-,+ACI-Kroger+ACI-,
15098,+ACI-ASSOC DISCOUNTT+ACI-,+ACI-Kroger+ACI-,
15099,+ACI-FUEL POINS THIS+ACI-,+ACI-Publix+ACI-,
15100,+ACI-ONS WHITE+ACI-,+ACI-Kroger+ACI-,
15101,+ACI-MANN GRN LF+ACI-,+ACI-Kroger+ACI-,
15102,+ACI-SPRO RAMEN+ACI-,+ACI-Kroger+ACI-,
15103,+ACI-PBX SPLITBRST+ACI-,+ACI-Kroger+ACI-,
15104,+ACI-AVINGS PC00+ACI-,+ACI-Kroger+ACI-,
15105,+ACI-GREENS+ACI-,+ACI-Kroger+ACI-,
15106,+ACI-WNY FAB SFTNR+ACI-,+ACI-Kroger+ACI-,
15107,+ACI-WT ONIONS WHIITE+ACI-,+ACI-Kroger+ACI-,
15108,+ACI-DDM MIXED VEGETABLE+ACI-,+ACI-Publix+ACI-,
15109,+ACI-WIITH OURRLLOW+ACI-,+ACI-Kroger+ACI-,
