id,product_text,retailer,category
102,PCHP SEA SALTED CH,Kroger,"snacks, cookies, & chips"
103,KROGER KROGER,Kroger,not an item
104,LLLIMES,Kroger,produce
105,CRMX LIPBBALM,Kroger,health & wellness
106,FBRZ FBRC RFRSHR,Kroger,household essentials
107,TT BBANANAS,Kroger,produce
108,BBFG CRV RLL,Kroger,canned goods & soups
109,HRML PPRON,Kroger,deli
110,MISSION YLW CRN TL,Publix,bakery
111,KROGER SA INGS,Kroger,not an item
112,SC 59 GATRADEPROPEL,Kroger,beverages
113,WT ROYAL GALA APPLES,Safeway,produce
114,MR CLEN ERASER 2CT,Kroger,household essentials
115,TYSN CHKN NUGETS,Kroger,frozen foods
116,HNTS MANWIICHH,Kroger,"condiments, sauces & seasonings"
117,INTO CREAMER,Kroger,dairy
118,DAIRY,Kroger,dairy
119,EEF,Publix,"meat, seafood, & poultry"
120,RENUZIT IRCARE,Kroger,household essentials
121,BANQ BNS TKY SG PT,Publix,frozen foods
122,ARRID XDRY,Kroger,beauty & grooming
123,HUNTSMANWICHH,Kroger,canned goods & soups
124,LIMITTONE 50 FUEL PTBONUS PER 7,Kroger,not an item
125,MRCH INSTLUNCH,Kroger,boxed meals
126,SC KRGER SAINS,Kroger,not an item
127,BBARLLASSPAGHETTI,Kroger,grains & pasta
128,THESE POTINTS EXPIIRE,Kroger,not an item
129,SC SENIOR 5K OFF,Kroger,not an item
130,DDIXIEPAPER PLATE,Publix,household essentials
131,BBLTHBOOST,Kroger,beverages
132,CRYSTAL SPRING WTR,Publix,beverages
133,OGNA,Kroger,deli
134,TYSN BREASTS PPC,Kroger,frozen foods
135,FRSKIES PRM FCHKN,Publix,pets
136,ICEEBREAKERS MINTS,Publix,candy & gum
137,RAT,Kroger,bakery
138,G0G0 SQZ APPCINNA,Publix,canned goods & soups
139,PRODUCTTFOR A,Kroger,not an item
140,1 8 2 FOR 600,Kroger,not an item
141,TACO SNG,Kroger,"condiments, sauces & seasonings"
142,LYSOL WIPES,Publix,household essentials
143,BBO BBESTDCUST FUEL MSG,Kroger,not an item
144,DIXIE,Publix,household essentials
145,BRHD HRD SLM,Kroger,deli
146,LLIMIITONE 50 FUELPT BONUS PER,Kroger,not an item
147,D BFRVLI,Kroger,"meat, seafood, & poultry"
148,GR SAVING,Kroger,not an item
149,KRO MACCHS,Kroger,boxed meals
150,WHEATTTORTILLAPC,Kroger,bakery
151,ECKR FRANKS PPC,Kroger,"meat, seafood, & poultry"
152,KR0 SAVINS,Kroger,not an item
153,WTT APLGALAA,Kroger,produce
154,RKRO TUNA,Kroger,canned goods & soups
155,S KRGER SAINGS,Kroger,not an item
156,GM SPORTS CHEWS,Kroger,"snacks, cookies, & chips"
157,KRO ALLUMNM,Kroger,household essentials
158,POWERADE SAVINGS,Kroger,not an item
159,BOK CHOY,Kroger,produce
160,GILETTE FUSION,Kroger,beauty & grooming
161,YELLOWU,Kroger,produce
162,NDRY DTRG,Kroger,household essentials
163,PPEPSICOLA,Kroger,beverages
164,TYSN CHCKEN TENDERPC,Kroger,frozen foods
165,YORK MINIS 8 0Z,Publix,candy & gum
166,RRITZ GRAB N G0,Kroger,"snacks, cookies, & chips"
167,SFGREEK WHL PLAIN,Publix,dairy
168,CILANTRO PPC,Kroger,"condiments, sauces & seasonings"
169,POMOTIN,Publix,not an item
170,CAMPBELL BEEFGRVY,Publix,canned goods & soups
171,SC 10A SENIOR DISC,Kroger,not an item
172,KRO ACO SHELLS,Kroger,boxed meals
173,1 E 2 FOR 600,Kroger,not an item
174,CASSHH,Kroger,not an item
175,ORG DRIED CRANBERR,Publix,produce
176,RREESES PNTBTR CHP,Publix,candy & gum
177,CIGAR CITY 6PK CNS,Publix,beer
178,DORITO C00L RANCH,Publix,"snacks, cookies, & chips"
179,ITKAT,Kroger,candy & gum
180,EGGO BRKFST,Kroger,frozen foods
181,LNFCGRK TSD COCONT,Publix,dairy
182,LLIBBY WK SWTCCORN,Publix,canned goods & soups
183,YMASTERCARD,Kroger,not an item
184,BBANQ SSG LINKS,Publix,"meat, seafood, & poultry"
185,HMS PAPER TWL,Kroger,household essentials
186,KR SHPCCHEDCHNK,Publix,dairy
187,LLFWY KEFIR,Kroger,dairy
188,CAULIFLOWER WHIT,Kroger,produce
189,PEACHHHARVESTSLD,Publix,produce
190,PUB WIPES REFILL,Kroger,baby & kids
191,PROG SOUP PPC,Kroger,canned goods & soups
192,MM ALMOND LRG BAG,Publix,candy & gum
193,FARM RICH SKINS,Kroger,frozen foods
194,ALANCEE,Kroger,"snacks, cookies, & chips"
195,EMPLLOYEE DISC,Kroger,not an item
196,KRO APRIVA PACKETSPC,Kroger,"condiments, sauces & seasonings"
197,PRSLBBACON,Kroger,"meat, seafood, & poultry"
198,T TOT,Kroger,frozen foods
199,BNLSCCHICK BREAST,Publix,"meat, seafood, & poultry"
200,FX KRO HYD PEROXIDE,Publix,health & wellness
201,STO SLICED PEACHES,Kroger,canned goods & soups
202,ORN YELLOW PPC,Kroger,produce
203,GILETTTE SHV GEL,Kroger,beauty & grooming
204,CANDRY GNGR ALE,Kroger,beverages
205,NOTEBOOK PPC,Publix,household essentials
206,AMYS ENCHILADA,Publix,frozen foods
207,LIMIIT ONE 50 FUEL PTBONUS PER 7,Kroger,not an item
208,ORTG TACO SSNG PPC,Kroger,"condiments, sauces & seasonings"
209,S WAFFLES,Kroger,frozen foods
210,ERLYCLOLIVES,Kroger,"condiments, sauces & seasonings"
211,SAGINGS,Kroger,not an item
212,KRO FACIAL CLEANSR,Kroger,beauty & grooming
213,LD NUTTY BAR,Kroger,"snacks, cookies, & chips"
214,KLOND BAR MINT CHC,Publix,"snacks, cookies, & chips"
215,FX CLEAR CARE SLTN,Kroger,health & wellness
216,00NI0NS SWEETT,Publix,produce
217,MW STRWBRY MUFMIX,Publix,baking
218,KRO CRSH PINEAPPL,Kroger,canned goods & soups
219,JOAN OF ARC BEAN,Kroger,canned goods & soups
220,ST GRANT EGGS,Kroger,dairy
221,JUMBO CHOC CUPCAKE,Publix,bakery
222,MEZZETTA OLIVES,Publix,"condiments, sauces & seasonings"
223,AMYS LASAGNA,Kroger,frozen foods
224,N KRAFT,Kroger,dairy
225,ARIZONAGREEN TEA,Publix,beverages
226,DISCOUNTSAND,Kroger,not an item
227,CAMP SKILLET SCE,Kroger,"condiments, sauces & seasonings"
228,PPUBLIX HVY WHPCCRM,Kroger,dairy
229,DDOVEEBAR SOAP,Kroger,beauty & grooming
230,ZATBLK BNSRICE,Publix,grains & pasta
231,ID ICE COFFEE MOCHH,Publix,beverages
232,PSECRETKERNEL CN,Publix,"snacks, cookies, & chips"
233,CASC VEGETABLES,Kroger,frozen foods
234,BROWNIE MIX,Kroger,baking
235,PUBLIX MBS OATMEAL,Publix,breakfast & cereal
236,STO SEAWEED SNK,Kroger,"snacks, cookies, & chips"
237,ANNIES RAVIOLI,Kroger,grains & pasta
238,STO BFCGRD,Kroger,"meat, seafood, & poultry"
239,BBOCA PATTY,Publix,frozen foods
240,HH SPOOKED PLASTICPC,Kroger,boxed meals
241,LOGER LOW GREAT PRICES,Kroger,not an item
242,ROGER EAVINGS,Kroger,not an item
243,BFORST FRT SNCKS,Kroger,"snacks, cookies, & chips"
244,BE MASHD POTATOES,Kroger,boxed meals
245,ORGANICBLUEBERRY,Publix,produce
246,UDDING,Kroger,"snacks, cookies, & chips"
247,AIRWK PISO FRESHW,Publix,household essentials
248,BROCCOLI FLORETS,Kroger,produce
249,DOM CONFCTSUG 10X,Publix,baking
250,PPRSL COLBY,Kroger,dairy
251,TOP RAMEN,Publix,canned goods & soups
252,CFPROTEIN PBCCHOC,Publix,"snacks, cookies, & chips"
253,WELCHGRAPEEJELLY,Publix,"condiments, sauces & seasonings"
254,TBBABY POUCHH,Kroger,baby & kids
255,LABR GRLC LF,Kroger,"condiments, sauces & seasonings"
256,2 FOR 593,Publix,not an item
257,KRO STRNG CHEESEEPPC,Kroger,dairy
258,R0 SAND BUN,Kroger,bakery
259,WT APL JUNAMI,Kroger,produce
260,KRET MAYO,Kroger,"condiments, sauces & seasonings"
261,PPRSL HNY HAM,Kroger,deli
262,TX TOAST,Kroger,frozen foods
263,KRO WTR ENHN PPC,Kroger,beverages
264,PUB GRTNORTHBEAN,Publix,canned goods & soups
265,IONIC WATER,Kroger,beverages
266,KKRO PIE CRST,Kroger,bakery
267,AQFRSH TOOTHPASTE,Kroger,health & wellness
268,RUFFIES CLR SCNT,Publix,household essentials
269,JMBO BLBRRY MFFNS,Publix,bakery
270,STO PORTABELLASSLC,Kroger,produce
271,ALTOID CINNAMON,Publix,candy & gum
272,SUN PAC CLEM PPC,Kroger,produce
273,BISCUITS PPC,Kroger,bakery
274,GG BNLS CHK BRST,Publix,"meat, seafood, & poultry"
275,FBAR,Kroger,"snacks, cookies, & chips"
276,KKRO COTTON ROUNDS,Kroger,beauty & grooming
277,FRZ SPRRIBS,Kroger,frozen foods
278,KKRGR SAINGS,Kroger,not an item
279,BBLUE DIAMND ALMOND,Publix,produce
280,1 G 2 FOR 700,Kroger,not an item
281,BKRY DANISH,Kroger,bakery
282,LTDB APPLE PIES,Kroger,"snacks, cookies, & chips"
283,CRNA SNK PCK,Kroger,"snacks, cookies, & chips"
284,FZ CHKN,Kroger,frozen foods
285,ZZAA,Kroger,frozen foods
286,SHBA CAT F00D PPC,Kroger,pets
287,WT GREEN CABBAGE,Kroger,produce
288,S DOG F00D,Kroger,pets
289,OTAL NUMBER 0F,Kroger,not an item
290,GER FFMILK,Kroger,dairy
291,SYNERGY GUAVA,Publix,beverages
292,SRTA LONG GRN RICEPC,Kroger,grains & pasta
293,PUBLIX GRK RASPBRY,Kroger,dairy
294,OZRK WATER PPC,Kroger,beverages
295,ZATARAIN RD BNRCE,Kroger,grains & pasta
296,PLMV DISH LIQUID KT,Kroger,household essentials
297,SARA LEE POUNDCAKE,Kroger,bakery
298,KRO FAJIITA SSNG,Kroger,"condiments, sauces & seasonings"
299,WT 40111 BBANANAS,Kroger,produce
300,FFRUITSALAD SMALL,Kroger,deli
301,WT RED SDLS GRAPES,Kroger,produce
302,BAACCE,Kroger,not an item
303,CHKN POPR KABOBBLE,Kroger,frozen foods
304,VIA,Kroger,beverages
305,SSTCORN,Kroger,frozen foods
306,KNORR BUTTERHERB,Kroger,grains & pasta
307,ALTE CHEDDAR,Kroger,dairy
308,BBANDERITABBURRITO,Publix,bakery
309,SWEETHEARTS BOX,Publix,candy & gum
310,PRSL BF GRD CH ANG,Kroger,"meat, seafood, & poultry"
311,GGDS YGRT,Kroger,dairy
312,ATMEAL,Kroger,breakfast & cereal
313,SMFLD NTL ROLL SSG,Kroger,"meat, seafood, & poultry"
314,NCY FEASTDCATFOOD,Kroger,pets
315,PC PLBRY CRESCE,Kroger,bakery
316,1 22F0R 400,Publix,not an item
317,WHL CELLO,Kroger,"snacks, cookies, & chips"
318,NISS TOP RAMEN,Kroger,canned goods & soups
319,SHARK BITES SNACKS,Kroger,"snacks, cookies, & chips"
320,HLTHCH FZML,Safeway,frozen foods
321,DC SARGENTO SNACK BI,Publix,dairy
322,KRO GREEN BN PPC,Kroger,produce
323,BBE MASHED POTATOESPC,Kroger,boxed meals
324,BC STFFD BURGERS,Publix,frozen foods
325,TOES OTV,Kroger,produce
326,JNUARY,Kroger,not an item
327,PAPAYA MARADOL,Kroger,produce
328,KN FOUR CHEZ SPIRL,Kroger,grains & pasta
329,KRO ALMD EXTRCT,Kroger,baking
330,HTGFCHKBRSTT,Kroger,"meat, seafood, & poultry"
331,AND ISSUER,Kroger,not an item
332,PRSL MPL TKY GNG,Kroger,"meat, seafood, & poultry"
333,CARAMBOLA STAR FRT,Publix,produce
334,KS TAPIOCA,Publix,"snacks, cookies, & chips"
335,KRO BACBITS,Publix,produce
336,PPLBRY TSTR STRUDEL,Kroger,frozen foods
337,MFRTS FRT,Kroger,"snacks, cookies, & chips"
338,CHUNGS SPRING ROLL,Publix,frozen foods
339,ECO FOIL BKWARE,Kroger,household essentials
340,CHUCK RIBS,Publix,"meat, seafood, & poultry"
341,PBX CHIX TNDRL2SB,Publix,frozen foods
342,PRHAE,Kroger,dairy
343,FGOR PEPPERS,Kroger,produce
344,YOPCGREEK PEACHH,Publix,dairy
345,SFTSOAPHANDSOAP,Kroger,beauty & grooming
346,HRML TURKEY PPC,Kroger,deli
347,IXIE PLATES,Kroger,household essentials
348,HOT SALSA,Publix,"snacks, cookies, & chips"
349,PERRIER WATER PPC,Kroger,beverages
350,GRAVY MIX,Kroger,"condiments, sauces & seasonings"
351,M MLK,Kroger,dairy
352,PUB WHTVINEGAR,Kroger,"condiments, sauces & seasonings"
353,BBREAD 16 0Z,Kroger,bakery
354,CHUCKROAST PPC,Kroger,"meat, seafood, & poultry"
355,CBADMINI RAVIOLI,Kroger,canned goods & soups
356,APPLSCE,Kroger,canned goods & soups
357,C0M0 SNACK,Kroger,"snacks, cookies, & chips"
358,RRDBR PIZZA PPC,Publix,frozen foods
359,ICY JUICE,Kroger,beverages
360,LIB CHKN VIENNA,Publix,canned goods & soups
361,SALSA AVOCADO VERD,Kroger,"snacks, cookies, & chips"
362,OBANI YOGURTT,Kroger,dairy
363,SC 5 OFF 75 ORDER,Kroger,not an item
364,ORGANIC DILL,Publix,produce
365,1B 2 FOR 500,Kroger,not an item
366,CHRMN FRSHMATES,Kroger,household essentials
367,WT MSHRM WHITE,Kroger,produce
368,K0 YOURT,Kroger,dairy
369,E SHRED LETTUCE,Kroger,produce
370,VIGO RICEMX,Kroger,grains & pasta
371,N WIENERS,Kroger,"meat, seafood, & poultry"
372,BBABY KALEEBLEND,Kroger,baby & kids
373,LIMIT ONE 50 FUEELPTBONUS PER 7,Kroger,not an item
374,WRIS WATER,Kroger,beverages
375,E BODY WASHH,Kroger,beauty & grooming
376,LIIMIIT ONE 50 FUELPTTBONUS PER 7,Kroger,not an item
377,CONTACTTYOUR,Kroger,not an item
378,KRO SANDBUN PPC,Kroger,bakery
379,LYSOL MOLD  MILDW,Publix,household essentials
380,CHBN YOGURT PPC,Kroger,dairy
381,HSFDS ROTCCHICKN,Publix,"meat, seafood, & poultry"
382,BBURRITO SIZE TORT,Kroger,bakery
383,KKTTL CHIPS PPC,Kroger,"snacks, cookies, & chips"
384,TRYKI CHCKN,Kroger,frozen foods
385,CATTFOOD,Kroger,pets
386,DNTO PIZZA,Kroger,frozen foods
387,HSFUTLWR SDM TK,Publix,deli
388,WT BBNNAS,Kroger,produce
389,RETRIEVAL TRANSACTION NUMBER,Kroger,not an item
390,PRSL WHT BRD,Kroger,bakery
391,PC LAYS CHIPS,Kroger,"snacks, cookies, & chips"
392,HTGF CHK TND PPC,Kroger,frozen foods
393,PUBLIX FS GRBEAN,Kroger,canned goods & soups
394,RGLY EXTRA GUM,Kroger,candy & gum
395,NNBSC TRISCUIT PPC,Kroger,"snacks, cookies, & chips"
396,KRO FZ TOAST PPC,Publix,frozen foods
397,SC SENIOR DISC,Kroger,not an item
398,RREESES PB PMPKNS,Kroger,candy & gum
399,SB DELICATE SPONG,Publix,household essentials
400,TEXAS PETE HOT SCEPC,Kroger,"condiments, sauces & seasonings"
401,CBAD MINI BF RVLI,Publix,canned goods & soups
402,HOT SOUP 12 0Z,Publix,canned goods & soups
403,DMND BAKING NUTS,Kroger,produce
404,PRSL RSTBF,Publix,deli
405,WTRMLN SDLS PPC,Kroger,produce
406,LIIMIITONE 50 FUELPTTBONUS PER,Kroger,not an item
407,PSSTDGRN BNS,Kroger,canned goods & soups
408,PUB DCD PEACHES LS,Publix,canned goods & soups
409,SPSTK DEODORANT,Kroger,beauty & grooming
410,HORMEL BACON PIECE,Publix,"meat, seafood, & poultry"
411,PED CHPD CHICKEN,Kroger,pets
412,NGGL FAB SFTNR,Kroger,household essentials
413,CATCCHOW INDOOR,Publix,pets
414,PX CARM RICE SNACK,Publix,"snacks, cookies, & chips"
415,JELLO LEMON PUDDIN,Publix,"snacks, cookies, & chips"
416,FOR 429,Publix,not an item
417,AJLITE SYRUP,Publix,"condiments, sauces & seasonings"
418,WT APL REDDEL,Kroger,produce
419,PLBRY PIZZA CRUSTT,Kroger,frozen foods
420,HUNTS VAN SNAK PAK,Kroger,"snacks, cookies, & chips"
421,PPSSTCCRACKER,Kroger,"snacks, cookies, & chips"
422,VERIFIEDBY PIN,Publix,not an item
423,LIQUID PLUMMER,Publix,household essentials
424,FINISH JET DRY,Publix,household essentials
425,GREEN ONIONS,Kroger,produce
426,KROZWATER,Kroger,beverages
427,T SVINGS,Kroger,not an item
428,KBLR CLUBCRACKERS,Publix,"snacks, cookies, & chips"
429,S0L0 PLATE,Kroger,household essentials
430,FFYMUFFINMIX,Kroger,baking
431,KKELL APPLEEJACKS,Kroger,breakfast & cereal
432,KRO DITALINI PASTAPC,Kroger,grains & pasta
433,SALAMI,Publix,deli
434,KRO TRLMIX,Kroger,"snacks, cookies, & chips"
435,0 FRUIT BOWL,Kroger,canned goods & soups
436,NAB WHEATTTRISCUITT,Publix,"snacks, cookies, & chips"
437,EFFECTIVE AUUT,Kroger,not an item
438,TITO SCOOPS,Kroger,"snacks, cookies, & chips"
439,KKRO YOURT,Kroger,dairy
440,FRENCHHTOASTCCEREL,Publix,breakfast & cereal
441,SKNR TWIRLS,Kroger,grains & pasta
442,CMORGAN PORK,Publix,"meat, seafood, & poultry"
443,PRSL HCKRY SMK HAMPC,Kroger,deli
444,SKINNY GIRL BAR,Kroger,"snacks, cookies, & chips"
445,PRSL PROVLN,Kroger,dairy
446,STALMONDMILK,Kroger,dairy
447,KKRO TURKEY,Kroger,deli
448,PER GALLATSHELL,Kroger,not an item
449,RD SUMMER FEL2X PTS,Kroger,not an item
450,KKRO FOAMCUP,Kroger,household essentials
451,L REV WRAP,Kroger,"snacks, cookies, & chips"
452,WT BBANANAS A,Kroger,produce
453,VIVA ITALIAN DRSNG,Publix,"condiments, sauces & seasonings"
454,CITY NFTAX,Kroger,not an item
455,CENTRUM,Publix,health & wellness
456,PRKAY SPREAD,Kroger,dairy
457,KNG POP POPCORN,Kroger,"snacks, cookies, & chips"
458,EARN550 BONUS,Kroger,not an item
459,WITH OUR LW,Kroger,not an item
460,MLD TURKEY SAUSAGE,Kroger,"meat, seafood, & poultry"
461,DEBIITPURCCHASE,Kroger,not an item
462,RCRM,Kroger,dairy
463,CAMPCCARS WMB,Publix,canned goods & soups
464,AFTMMAC,Kroger,grains & pasta
465,ROS,Kroger,wine
466,PWRAE,Kroger,bakery
467,BBRYN SMOKIES,Kroger,"meat, seafood, & poultry"
468,MMS FC BACON,Publix,"meat, seafood, & poultry"
469,VIDAL,Kroger,beauty & grooming
470,PBX CHED JACK SPRD,Publix,dairy
471,LTDB NUTTY BAR PPC,Kroger,"snacks, cookies, & chips"
472,CHOC SHAKE,Kroger,beverages
473,CESAR SNRSEEBCNEG,Publix,pets
474,NEUTR TWLTTS,Publix,beauty & grooming
475,BBLK FRST HM SLCD,Kroger,deli
476,HAM GNG,Kroger,deli
477,FFG LVR BEEF,Publix,"meat, seafood, & poultry"
478,RRYNLDS BAKING CUPS,Publix,baking
479,R PASTA SDE,Kroger,grains & pasta
480,COLES MINI LOAF,Kroger,frozen foods
481,QKER LIFE CEREAL KT,Kroger,breakfast & cereal
482,KRO ENG MFFN PPC,Kroger,bakery
483,KKRO BREAD C,Kroger,bakery
484,T TUNA PPC,Kroger,canned goods & soups
485,MEA EVENT,Kroger,not an item
486,TYSON BNLS TLOIN,Kroger,frozen foods
487,GLOW RINGS,Kroger,toys & games
488,KRO CHEESE 199,Kroger,dairy
489,SAVE UF T0,Kroger,not an item
490,FSELBBABY SPINACHH,Kroger,produce
491,LTDB CREME PIES,Kroger,"snacks, cookies, & chips"
492,ANNIES YOGURT4PK,Kroger,dairy
493,KELL SPLK CEREAL KT,Kroger,breakfast & cereal
494,BODY PUFF,Publix,beauty & grooming
495,INS OTML,Kroger,breakfast & cereal
496,PAGODA WONTON,Kroger,frozen foods
497,2 FOR 109,Publix,not an item
498,GH BNLS CHK BRST,Publix,"meat, seafood, & poultry"
499,HLSR HNY HAM PPC,Kroger,deli
500,ORE IDA BOLDCRSPY,Publix,frozen foods
501,R CH BRST,Kroger,"meat, seafood, & poultry"
502,WTT BBANANAS 0,Kroger,produce
503,SC KKRGER SVINS,Kroger,not an item
504,S PEANUT,Kroger,produce
505,RED SEEDLESS GRAPE,Publix,produce
506,ONE LMBB RC DG FD,Publix,pets
507,RADISHESBUNCHH,Publix,produce
508,BUMBLEEBEE 4PK,Publix,canned goods & soups
509,SUNFLOWR SD,Kroger,produce
510,PBX DELI BAN PUD,Publix,"snacks, cookies, & chips"
511,UEBERRIES PPC,Kroger,produce
512,LACHY SAUCE,Kroger,"condiments, sauces & seasonings"
513,PX TRKY GR MIX,Publix,"condiments, sauces & seasonings"
514,COLLUMBUS,Kroger,deli
515,I YOGURTT,Kroger,dairy
516,0M SHVD MSQTTTRKY,Publix,deli
517,PSSTCINNAMN,Publix,baking
518,CBAD MAC  CHEESE,Kroger,canned goods & soups
519,FSEL ITALLIAN STYLEPC,Kroger,produce
520,CHERRY COFFCCK,Publix,beverages
521,CHILI PWDR,Kroger,"condiments, sauces & seasonings"
522,WELCH SPRK WATER PPC,Kroger,beverages
523,CMMNB SWEETCCREME,Publix,dairy
524,GIFTCERT,Kroger,gift cards
525,BBH HARD SALAMI,Publix,deli
526,MFTS BABY F00D,Kroger,baby & kids
527,C0 DOG TREAT,Kroger,pets
528,PUB CANNED CHICKEN,Kroger,canned goods & soups
529,KRO BAGEL PPC,Kroger,bakery
530,KRAFTVELVEETACCHZ,Publix,grains & pasta
531,HNTTBABY,Kroger,baby & kids
532,CABOTHTRSH CHD BA,Publix,dairy
533,KRO DRIINK MX,Kroger,beverages
534,NSQK SYRUP,Kroger,"condiments, sauces & seasonings"
535,PBX TRKY 12 SUB,Publix,deli
536,BEFFECTIVE AUSUST23,Kroger,not an item
537,SPVINGS,Kroger,not an item
538,PRODUCE NSCN,Kroger,produce
539,K WK,Kroger,dairy
540,SUAVE KID BODYWASH,Kroger,beauty & grooming
541,N APPLWD BACON,Kroger,"meat, seafood, & poultry"
542,KKRO SHRED CHEESEPPC,Kroger,dairy
543,ID HAZELNUTT,Publix,dairy
544,BBLACKBERRIIES,Publix,produce
545,GGLAZED POPEMS,Publix,"snacks, cookies, & chips"
546,JUST4MEN COLOR,Kroger,beauty & grooming
547,PBX SPLIT BRST,Publix,"meat, seafood, & poultry"
548,KRO VIITTD WHL MILKPC,Kroger,dairy
549,PRSL ARTCHKE,Kroger,frozen foods
550,CLFMNTNES,Kroger,produce
551,PUB FLOSSERS,Publix,health & wellness
552,GE LED BULB,Kroger,household essentials
